PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
14687,devilly1999,Completer,Trauma Treatment Protocol,Trauma-focused cognitive behavioral therapy (TF-CBT),A,Complete case,chi-square test,12,,,,,,1,>2 SD below the pretreatment mean on PSS-SR,0.6667,8,12,devilly1999_Completer_A_12_1
14687,devilly1999,Completer,Trauma Treatment Protocol,Trauma-focused cognitive behavioral therapy (TF-CBT),A,Complete case,chi-square test,12,,,,,,2,>2 SD below the pretreatment mean on IES,0.6667,8,12,devilly1999_Completer_A_12_2
14687,devilly1999,Completer,Trauma Treatment Protocol,Trauma-focused cognitive behavioral therapy (TF-CBT),A,Complete case,chi-square test,12,,,,,,3,>2 SD below the pretreatment mean on CMS,0.4167,5,12,devilly1999_Completer_A_12_3
14687,devilly1999,Completer,Trauma Treatment Protocol,Trauma-focused cognitive behavioral therapy (TF-CBT),A,Complete case,two-tailed Fisher's exact test,12,2,No longer meeting criteria for PTSD using PSS-SR,0.5833,7,12,,,,,,devilly1999_Completer_A_12_2
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,chi-square test,0,,,,,,1,>2 SD below the pretreatment mean on PSS-SR,0.2727,3,11,devilly1999_Completer_B_0_1
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,chi-square test,0,,,,,,2,>2 SD below the pretreatment mean on IES,0.3636,4,11,devilly1999_Completer_B_0_2
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,chi-square test,0,,,,,,3,>2 SD below the pretreatment mean on CMS,0.3636,4,11,devilly1999_Completer_B_0_3
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,two-tailed Fisher's exact test,0,1,No longer meeting criteria for PTSD using PTSD-I,0.3636,4,11,,,,,,devilly1999_Completer_B_0_1
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,two-tailed Fisher's exact test,0,2,No longer meeting criteria for PTSD using PSS-SR,0.2727,3,11,,,,,,devilly1999_Completer_B_0_2
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,chi-square test,12,,,,,,1,>2 SD below the pretreatment mean on PSS-SR,0.2727,3,11,devilly1999_Completer_B_12_1
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,chi-square test,12,,,,,,2,>2 SD below the pretreatment mean on IES,0.2727,3,11,devilly1999_Completer_B_12_2
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,chi-square test,12,,,,,,3,>2 SD below the pretreatment mean on CMS,0.0909,1,11,devilly1999_Completer_B_12_3
14687,devilly1999,Completer,Eye Movement Desensitization and Reproccessing,Eye Movement Desensitization and Reprocessing (EMDR),B,Complete case,two-tailed Fisher's exact test,12,2,No longer meeting criteria for PTSD using PSS-SR,0.1818,2,11,,,,,,devilly1999_Completer_B_12_2
41641,difede2014,ITT,Exposure therapy with virtual reality plus D-cycloserine,Virtual reality exposure therapy (VRET) + D-cycloserine,A,,,0,,,,,,1,"CAPS total score of ≤20 and minimal or no impairment in social, occupational and other important areas of functioning (CAPS items F21 and F22 ≤1)",0.4615,6,13,difede2014_ITT_A_0_1
41641,difede2014,ITT,Exposure therapy with virtual reality plus D-cycloserine,Virtual reality exposure therapy (VRET) + D-cycloserine,A,,,26,,,,,,1,"CAPS total score of ≤20 and minimal or no impairment in social, occupational and other important areas of functioning (CAPS items F21 and F22 ≤1)",0.6923,9,13,difede2014_ITT_A_26_1
41641,difede2014,ITT,Exposure therapy with virtual reality plus placebo,Virtual reality exposure therapy (VRET) + placebo,B,,,0,,,,,,1,"CAPS total score of ≤20 and minimal or no impairment in social, occupational and other important areas of functioning (CAPS items F21 and F22 ≤1)",0.0833,1,12,difede2014_ITT_B_0_1
41641,difede2014,ITT,Exposure therapy with virtual reality plus placebo,Virtual reality exposure therapy (VRET) + placebo,B,,,26,,,,,,1,"CAPS total score of ≤20 and minimal or no impairment in social, occupational and other important areas of functioning (CAPS items F21 and F22 ≤1)",0.1667,2,12,difede2014_ITT_B_26_1
39141,dorrepaal2012,Completer,Group CBT,Cognitive behavioral therapy (CBT) without a trauma focus,A,,,0,,,,,,1,≥1 standard deviation decrease from baseline on DTS (equivalent to 22.5 points),0.5484,17,31,dorrepaal2012_Completer_A_0_1
39141,dorrepaal2012,ITT,Group CBT,Cognitive behavioral therapy (CBT) without a trauma focus,A,,,0,,,,,,1,≥1 standard deviation decrease from baseline on DTS (equivalent to 22.5 points),0.4474,17,38,dorrepaal2012_ITT_A_0_1
39141,dorrepaal2012,Completer,TAU,Supportive counseling,B,,,0,,,,,,1,≥1 standard deviation decrease from baseline on DTS (equivalent to 22.5 points),0.2414,7,33,dorrepaal2012_Completer_B_0_1
39141,dorrepaal2012,ITT,TAU,Supportive counseling,B,,,0,,,,,,1,≥1 standard deviation decrease from baseline on DTS (equivalent to 22.5 points),0.2121,7,33,dorrepaal2012_ITT_B_0_1
49315,dunlop2017,ITT,GSK561679 investigational drug,GSK561679 investigational drug,A,,,0,,,,,,1,>50% decrease in total CAPS score from baseline,0.2222,14,63,dunlop2017_ITT_A_0_1
49315,dunlop2017,ITT,GSK561679 investigational drug,GSK561679 investigational drug,A,,,0,,,,,,2,>30% decrease in total CAPS score from baseline,0.4444,28,63,dunlop2017_ITT_A_0_2
49315,dunlop2017,ITT,Placebo,Placebo,B,,,0,,,,,,1,>50% decrease in total CAPS score from baseline,0.2769,18,65,dunlop2017_ITT_B_0_1
49315,dunlop2017,ITT,Placebo,Placebo,B,,,0,,,,,,2,>30% decrease in total CAPS score from baseline,0.5231,34,65,dunlop2017_ITT_B_0_2
1565688,dunlop2021,ITT,Vortioxetine,Vortioxetine,A,,"Repeated-measures model, with binary logistic analysis",0,,,,,,1,≥30% decrease in CAPS-5 total score from baseline,,,,dunlop2021_ITT_A_0_1
1565688,dunlop2021,ITT,Placebo,Placebo,B,,"Repeated-measures model, with binary logistic analysis",0,,,,,,1,≥30% decrease in CAPS-5 total score from baseline,,,,dunlop2021_ITT_B_0_1
39572,dunne2012,ITT,Trauma-focused CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0,1,Not meeting criteria for PTSD according to SCID,0.6154,8,13,1,RCI of 7.8 on PDS,0.3077,4,13,dunne2012_ITT_A_0_1
39572,dunne2012,ITT,Waitlist,Waitlist,B,,,0,1,Not meeting criteria for PTSD according to SCID,0.0769,1,13,1,RCI of 7.8 on PDS,0,0,13,dunne2012_ITT_B_0_1
1553709,duran2020,Completer,PE,Prolonged Exposure (PE),A,,,12,1,"Remission, not further defined",0.1765,9,51,,,,,,duran2020_Completer_A_12_1
1553709,duran2020,Completer,TBCT,Trauma-focused cognitive behavioral therapy (TF-CBT),B,,,12,1,"Remission, not further defined",0.3182,14,44,,,,,,duran2020_Completer_B_12_1
7521,echeburua1996,ITT,Cognitive Restructuring and coping-skills training,Cognitive restructuring and coping-skills training,A,,,0,1,Not meeting criteria for PTSD according to DSM-III-R,0.8,8,10,,,,,,echeburua1996_ITT_A_0_1
7521,echeburua1996,ITT,Cognitive Restructuring and coping-skills training,Cognitive restructuring and coping-skills training,A,,,26,1,Not meeting criteria for PTSD according to DSM-III-R,1,10,10,,,,,,echeburua1996_ITT_A_26_1
7521,echeburua1996,ITT,Cognitive Restructuring and coping-skills training,Cognitive restructuring and coping-skills training,A,,,4,1,Not meeting criteria for PTSD according to DSM-III-R,1,10,10,,,,,,echeburua1996_ITT_A_4_1
7521,echeburua1996,ITT,Cognitive Restructuring and coping-skills training,Cognitive restructuring and coping-skills training,A,,,52,1,Not meeting criteria for PTSD according to DSM-III-R,1,10,10,,,,,,echeburua1996_ITT_A_52_1
7521,echeburua1996,ITT,Progressive muscular relaxation,Relaxation,B,,,0,1,Not meeting criteria for PTSD according to DSM-III-R,0.5,5,10,,,,,,echeburua1996_ITT_B_0_1
7521,echeburua1996,ITT,Progressive muscular relaxation,Relaxation,B,,,26,1,Not meeting criteria for PTSD according to DSM-III-R,0.9,9,10,,,,,,echeburua1996_ITT_B_26_1
7521,echeburua1996,ITT,Progressive muscular relaxation,Relaxation,B,,,4,1,Not meeting criteria for PTSD according to DSM-III-R,0.8,8,10,,,,,,echeburua1996_ITT_B_4_1
7521,echeburua1996,ITT,Progressive muscular relaxation,Relaxation,B,,,52,1,Not meeting criteria for PTSD according to DSM-III-R,0.8,8,10,,,,,,echeburua1996_ITT_B_52_1
1587976,efendi2020,ITT,Trauma-focused Cognitive Behavioral Therapy,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,Fisher exact test,0,1,No longer meeting PTSD criteria on CAPS-5,0.822,37,45,,,,,,efendi2020_ITT_A_0_1
1587976,efendi2020,ITT,Waitlist,Waitlist,B,,Fisher exact test,0,1,No longer meeting PTSD criteria on CAPS-5,0.111,5,45,,,,,,efendi2020_ITT_B_0_1
25861,ehlers2003,Completer,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,0,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.7857,22,28,1,≥50% decrease on PDS,0.821,23,28,ehlers2003_Completer_A_0_1
25861,ehlers2003,Completer,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,0,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.8571,24,28,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.679,19,28,ehlers2003_Completer_A_0_2
25861,ehlers2003,Completer,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,39,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.8929,25,28,1,≥50% decrease on PDS,0.893,25,28,ehlers2003_Completer_A_39_1
25861,ehlers2003,Completer,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,39,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.8571,24,28,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.75,21,28,ehlers2003_Completer_A_39_2
25861,ehlers2003,ITT,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,0,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.7857,22,28,1,≥50% decrease on PDS,0.821,23,28,ehlers2003_ITT_A_0_1
25861,ehlers2003,ITT,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,0,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.8571,24,28,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.679,19,28,ehlers2003_ITT_A_0_2
25861,ehlers2003,ITT,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,39,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.8929,25,28,1,≥50% decrease on PDS,0.893,25,28,ehlers2003_ITT_A_39_1
25861,ehlers2003,ITT,Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,39,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.8571,24,28,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.75,21,28,ehlers2003_ITT_A_39_2
25861,ehlers2003,Completer,Self-help booklet,Self-help booklet,B,,,0,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.24,6,25,1,≥50% decrease on PDS,0.28,7,25,ehlers2003_Completer_B_0_1
25861,ehlers2003,Completer,Self-help booklet,Self-help booklet,B,,,0,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.24,6,25,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.08,2,25,ehlers2003_Completer_B_0_2
25861,ehlers2003,Completer,Self-help booklet,Self-help booklet,B,,,39,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.44,11,25,1,≥50% decrease on PDS,0.28,7,25,ehlers2003_Completer_B_39_1
25861,ehlers2003,Completer,Self-help booklet,Self-help booklet,B,,,39,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.28,7,25,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.04,1,25,ehlers2003_Completer_B_39_2
25861,ehlers2003,ITT,Self-help booklet,Self-help booklet,B,,,0,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.2143,6,28,1,≥50% decrease on PDS,0.25,7,28,ehlers2003_ITT_B_0_1
25861,ehlers2003,ITT,Self-help booklet,Self-help booklet,B,,,0,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.2143,6,28,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.071,2,28,ehlers2003_ITT_B_0_2
25861,ehlers2003,ITT,Self-help booklet,Self-help booklet,B,,,39,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.3929,11,28,1,≥50% decrease on PDS,0.25,7,28,ehlers2003_ITT_B_39_1
25861,ehlers2003,ITT,Self-help booklet,Self-help booklet,B,,,39,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.25,7,28,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.036,1,28,ehlers2003_ITT_B_39_2
25861,ehlers2003,Completer,Repeated assessments,Assessment,C,,,0,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.2963,8,27,1,≥50% decrease on PDS,0.222,6,27,ehlers2003_Completer_C_0_1
25861,ehlers2003,Completer,Repeated assessments,Assessment,C,,,0,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.2963,8,27,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.111,3,27,ehlers2003_Completer_C_0_2
25861,ehlers2003,Completer,Repeated assessments,Assessment,C,,,39,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.4615,12,26,1,≥50% decrease on PDS,0.423,11,26,ehlers2003_Completer_C_39_1
25861,ehlers2003,Completer,Repeated assessments,Assessment,C,,,39,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.4615,12,26,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.231,6,26,ehlers2003_Completer_C_39_2
25861,ehlers2003,ITT,Repeated assessments,Assessment,C,,,0,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.2759,8,29,1,≥50% decrease on PDS,0.207,6,29,ehlers2003_ITT_C_0_1
25861,ehlers2003,ITT,Repeated assessments,Assessment,C,,,0,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.2759,8,29,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.103,3,29,ehlers2003_ITT_C_0_2
25861,ehlers2003,ITT,Repeated assessments,Assessment,C,,,39,1,Not meeting criteria for PTSD according to CAPS and CAPS global severity rating ≥2,0.4483,13,29,1,≥50% decrease on PDS,0.414,12,29,ehlers2003_ITT_C_39_1
25861,ehlers2003,ITT,Repeated assessments,Assessment,C,,,39,2,"Not meeting criteria for PTSD according to PDS, plus interference with at least 2 areas of their lives or general interference in all areas of their lives, and PDS total score ≥14",0.4483,13,29,2,PDS <14 and CAPS global severity <2 and BDI <12 and BAI <12,0.276,8,29,ehlers2003_ITT_C_39_2
26999,ehlers2005,ITT,Cogntive therapy,Cognitive Therapy for PTSD (CT-PTSD),A,No missing data,Chi-squared test,0,1,"Loss of PTSD diagnosis using DSM-IV criteria on CAPS-SX and PDS, and PDS score <14",0.714,10,14,1,PDS score ≥50% decrease,0.786,11,14,ehlers2005_ITT_A_0_1
26999,ehlers2005,ITT,Cogntive therapy,Cognitive Therapy for PTSD (CT-PTSD),A,No missing data,Chi-squared test,0,,,,,,2,"PDS score <14, Sheehan Disability Scale score <3, BDI score <12, and BAI score <12",0.643,9,14,ehlers2005_ITT_A_0_2
26999,ehlers2005,ITT,Waitlist,Waitlist,B,No missing data,Chi-squared test,0,1,"Loss of PTSD diagnosis using DSM-IV criteria on CAPS-SX and PDS, and PDS score <14",0,0,14,1,PDS score ≥50% decrease,0,0,14,ehlers2005_ITT_B_0_1
26999,ehlers2005,ITT,Waitlist,Waitlist,B,No missing data,Chi-squared test,0,,,,,,2,"PDS score <14, Sheehan Disability Scale score <3, BDI score <12, and BAI score <12",0,0,14,ehlers2005_ITT_B_0_2
41886,ehlers2014,ITT,Intensive Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,0,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.7333,22,30,1,CAPS score <20,0.4667,14,30,ehlers2014_ITT_A_0_1
41886,ehlers2014,ITT,Intensive Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,0,,,,,,2,PDS score <11,0.5667,17,30,ehlers2014_ITT_A_0_2
41886,ehlers2014,ITT,Intensive Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,27,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.7333,22,30,1,CAPS score <20,0.4,12,30,ehlers2014_ITT_A_27_1
41886,ehlers2014,ITT,Intensive Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,27,,,,,,2,PDS score <11,0.5,15,30,ehlers2014_ITT_A_27_2
41886,ehlers2014,ITT,Intensive Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,40,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.6667,20,30,1,CAPS score <20,0.5333,16,30,ehlers2014_ITT_A_40_1
41886,ehlers2014,ITT,Intensive Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),A,,,40,,,,,,2,PDS score <11,0.5667,17,30,ehlers2014_ITT_A_40_2
41886,ehlers2014,ITT,Standard Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),B,,,0,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.7742,24,31,1,CAPS score <20,0.5161,16,31,ehlers2014_ITT_B_0_1
41886,ehlers2014,ITT,Standard Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),B,,,0,,,,,,2,PDS score <11,0.6452,20,31,ehlers2014_ITT_B_0_2
41886,ehlers2014,ITT,Standard Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),B,,,27,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.7419,23,31,1,CAPS score <20,0.6774,21,31,ehlers2014_ITT_B_27_1
41886,ehlers2014,ITT,Standard Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),B,,,27,,,,,,2,PDS score <11,0.7097,22,31,ehlers2014_ITT_B_27_2
41886,ehlers2014,ITT,Standard Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),B,,,40,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.7419,23,31,1,CAPS score <20,0.7419,23,31,ehlers2014_ITT_B_40_1
41886,ehlers2014,ITT,Standard Cognitive Therapy,Cognitive Therapy for PTSD (CT-PTSD),B,,,40,,,,,,2,PDS score <11,0.5806,18,31,ehlers2014_ITT_B_40_2
41886,ehlers2014,ITT,Emotion-focused supportive therapy,Supportive counseling,C,,,0,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.4333,13,30,1,CAPS score <20,0.2,6,30,ehlers2014_ITT_C_0_1
41886,ehlers2014,ITT,Emotion-focused supportive therapy,Supportive counseling,C,,,0,,,,,,2,PDS score <11,0.3,9,30,ehlers2014_ITT_C_0_2
41886,ehlers2014,ITT,Emotion-focused supportive therapy,Supportive counseling,C,,,27,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.3667,11,30,1,CAPS score <20,0.1667,5,30,ehlers2014_ITT_C_27_1
41886,ehlers2014,ITT,Emotion-focused supportive therapy,Supportive counseling,C,,,27,,,,,,2,PDS score <11,0.2333,7,30,ehlers2014_ITT_C_27_2
41886,ehlers2014,ITT,Emotion-focused supportive therapy,Supportive counseling,C,,,40,1,"Not meeting criteria for PTSD according to DSM-IV """"1-2"""" scoring rule",0.4,12,30,1,CAPS score <20,0.2667,8,30,ehlers2014_ITT_C_40_1
41886,ehlers2014,ITT,Emotion-focused supportive therapy,Supportive counseling,C,,,40,,,,,,2,PDS score <11,0.3,9,30,ehlers2014_ITT_C_40_2
1623154,ehlers2023,Completer,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,complete case analysis,Descriptive only,0,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.8462,66,78,,,,,,ehlers2023_Completer_A_0_1
1623154,ehlers2023,Completer,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,complete case analysis,Descriptive only,13,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.8182,63,77,,,,,,ehlers2023_Completer_A_13_1
1623154,ehlers2023,Completer,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,complete case analysis,Descriptive only,26,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.875,63,72,,,,,,ehlers2023_Completer_A_26_1
1623154,ehlers2023,Completer,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,complete case analysis,Descriptive only,52,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.8406,58,69,,,,,,ehlers2023_Completer_A_52_1
1623154,ehlers2023,ITT,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,missing data scored as no Clinically Meaningful Response,Descriptive only,0,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.7065,65,92,ehlers2023_ITT_A_0_1
1623154,ehlers2023,ITT,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,missing data scored as no Clinically Meaningful Response,Descriptive only,13,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.7609,70,92,ehlers2023_ITT_A_13_1
1623154,ehlers2023,ITT,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,missing data scored as no Clinically Meaningful Response,Descriptive only,26,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.7391,68,92,ehlers2023_ITT_A_26_1
1623154,ehlers2023,ITT,Internet-delivered cognitive therapy for PTSD (iCT-PTSD),Internet-based facilitated self-help,A,missing data scored as no Clinically Meaningful Response,Descriptive only,52,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.7065,65,92,ehlers2023_ITT_A_52_1
1623154,ehlers2023,Completer,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,complete case analysis,Descriptive only,0,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.7073,58,82,,,,,,ehlers2023_Completer_B_0_1
1623154,ehlers2023,Completer,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,complete case analysis,Descriptive only,13,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.7436,58,78,,,,,,ehlers2023_Completer_B_13_1
1623154,ehlers2023,Completer,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,complete case analysis,Descriptive only,26,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.6974,53,76,,,,,,ehlers2023_Completer_B_26_1
1623154,ehlers2023,Completer,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,complete case analysis,Descriptive only,52,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.7432,55,74,,,,,,ehlers2023_Completer_B_52_1
1623154,ehlers2023,ITT,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,missing data scored as no Clinically Meaningful Response,Descriptive only,0,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.5376,50,93,ehlers2023_ITT_B_0_1
1623154,ehlers2023,ITT,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,missing data scored as no Clinically Meaningful Response,Descriptive only,13,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.5806,54,93,ehlers2023_ITT_B_13_1
1623154,ehlers2023,ITT,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,missing data scored as no Clinically Meaningful Response,Descriptive only,26,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.6129,57,93,ehlers2023_ITT_B_26_1
1623154,ehlers2023,ITT,Internet-delivered stress management therapy for PTSD (iStress-PTSD),Internet-based facilitated self-help,B,missing data scored as no Clinically Meaningful Response,Descriptive only,52,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.5806,54,93,ehlers2023_ITT_B_52_1
1623154,ehlers2023,Completer,Waitlist with TAU,Treatment as usual (TAU),C,complete case analysis,Descriptive only,0,1,No longer meeting DSM-5 criteria for PTSD on CAPS-5,0.1333,4,30,,,,,,ehlers2023_Completer_C_0_1
1623154,ehlers2023,ITT,Waitlist with TAU,Treatment as usual (TAU),C,missing data scored as no Clinically Meaningful Response,Descriptive only,0,,,,,,1,PCL-5 change ≥ 10 and PCL-5 < 21,0.2188,7,32,ehlers2023_ITT_C_0_1
1620168,elbarazi2022,ITT,CPT,Cognitive Processing Therapy (CPT),A,Mixed effects models,Generalized estimating equation with logit link,0,1,"Diagnostic remission, CAPS (no further details)",0.8,40,50,,,,,,elbarazi2022_ITT_A_0_1
1620168,elbarazi2022,ITT,CPT,Cognitive Processing Therapy (CPT),A,Mixed effects models,Generalized estimating equation with logit link,12,1,"Diagnostic remission, CAPS (no further details)",0.76,36,47,,,,,,elbarazi2022_ITT_A_12_1
1620168,elbarazi2022,ITT,CPT,Cognitive Processing Therapy (CPT),A,Mixed effects models,Generalized estimating equation with logit link,39,1,"Diagnostic remission, CAPS (no further details)",0.8,40,50,,,,,,elbarazi2022_ITT_A_39_1
1620168,elbarazi2022,ITT,Sertraline,Sertraline,B,Mixed effects models,Generalized estimating equation with logit link,0,1,"Diagnostic remission, CAPS (no further details)",0.28,10,35,,,,,,elbarazi2022_ITT_B_0_1
