PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
44517,bomyea2015,ITT,High Interference Control Training,Interference control training,A,,,0,1,Not meeting criteria for PTSD according to CAPS,0.45,,,1,≥80% reduction in total PTSD symptoms,0.5,,,bomyea2015_ITT_A_0_1
44517,bomyea2015,Completer,Low Interference Control Training,Interference control training,B,,,0,1,Not meeting criteria for PTSD according to CAPS,0.63,,,1,≥80% reduction in total PTSD symptoms,0.75,,,bomyea2015_Completer_B_0_1
44517,bomyea2015,ITT,Low Interference Control Training,Interference control training,B,,,0,1,Not meeting criteria for PTSD according to CAPS,0.3,,,1,≥80% reduction in total PTSD symptoms,0.3,,,bomyea2015_ITT_B_0_1
38465,bormann2013,ITT,Mantram Repetition Program + TAU,Mantram Repetition,A,,,0,,,,,,1,≥10-point reduction on CAPS and CAPS score ≤45,0.24,,,bormann2013_ITT_A_0_1
38465,bormann2013,ITT,TAU,Treatment as usual (TAU),B,,,0,,,,,,1,≥10-point reduction on CAPS and CAPS score ≤45,0.12,,,bormann2013_ITT_B_0_1
50584,bormann2018,Completer,Mantram repetition,Mantram Repetition,A,,Chi-squared,0,1,No longer met CAPS PTSD criteria (frequency-1/intensity-2 rule),0.48,32,,,,,,,bormann2018_Completer_A_0_1
50584,bormann2018,Completer,Mantram repetition,Mantram Repetition,A,,Chi-squared,8,1,No longer met CAPS PTSD criteria (frequency-1/intensity-2 rule),0.59,36,61,,,,,,bormann2018_Completer_A_8_1
50584,bormann2018,Completer,Mantram repetition,Mantram Repetition,A,,,,,,,,,1,Improvement ≥10 points on CAPS,0.75,49,65,bormann2018_Completer_A_NA_1
50584,bormann2018,Completer,PCT,Present-Centered Therapy (PCT),B,,Chi-squared,0,1,No longer met CAPS PTSD criteria (frequency-1/intensity-2 rule),0.35,24,,,,,,,bormann2018_Completer_B_0_1
50584,bormann2018,Completer,PCT,Present-Centered Therapy (PCT),B,,Chi-squared,8,1,No longer met CAPS PTSD criteria (frequency-1/intensity-2 rule),0.4,26,65,,,,,,bormann2018_Completer_B_8_1
50584,bormann2018,Completer,PCT,Present-Centered Therapy (PCT),B,,,,,,,,,1,Improvement ≥10 points on CAPS,0.61,43,,bormann2018_Completer_B_NA_1
22232,brady2000,ITT,Sertraline,Sertraline,A,,,0,,,,,,1,≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2,0.53,,,brady2000_ITT_A_0_1
