,PTSDpubs_ID,Study_ID,Analysis_Type,Treatment_Name,Standardized_Treatment_Name,Interv_Group,Missing_Data_Method,Stats_Analysis_Method,Assessment_Point,Diag_Change_Def_Num,Diag_Change_Definition,Percent_Diag_Change,Diag_Change_Numerator,Diag_Change_Denominator,Clin_Meaningful_Def_Num,Clin_Meaningful_Def,Pcnt_Clin_Meaningful_Resp,Clin_Meaningful_Numerator,Clin_Meaningful_Denominator,Row_ID,bad_data,any_outliers,potential_issues,Treatment_Name_Cleaned,Treatment_Category
49,31131,becker2007,ITT,Bupropion sustained release,Bupropion,A,,,0.0,,,,,,1,CGI rated at least minimally improved,0.5556,10.0,18.0,becker2007_ITT_A_0_1,False,False,False,Bupropion sustained release,Other
50,31131,becker2007,ITT,Placebo,Placebo,B,,,0.0,,,,,,1,CGI rated at least minimally improved,,,,becker2007_ITT_B_0_1,False,False,False,Placebo,Other
51,35248,beidel2011,Completer,Trauma Management Therapy with Exposure Therapy,Trauma Management Therapy with exposure therapy,A,,,0.0,,,,,,1,CGI-I rated as 1 or 2,0.43,,,beidel2011_Completer_A_0_1,False,False,False,Trauma Management Therapy with Exposure Therapy,Other
52,35248,beidel2011,Completer,Exposure Therapy + psychoeducation,Exposure therapy,B,,,0.0,,,,,,1,CGI-I rated as 1 or 2,0.44,,,beidel2011_Completer_B_0_1,False,False,False,Exposure Therapy + psychoeducation,Other
53,1554186,bellehsen2021,ITT,Transcendental meditation,Transcendental meditation,A,,Chi-square analysis,0.0,1,No longer met the criteria for a CAPS-5 PTSD diagnosis,0.5,10.0,20.0,1,≥10 point decrease in CAPS-5 severity score,0.5,10.0,20.0,bellehsen2021_ITT_A_0_1,False,False,False,Transcendental meditation,Other
54,1554186,bellehsen2021,ITT,TAU,Treatment as usual (TAU),B,,Chi-square analysis,0.0,1,No longer met the criteria for a CAPS-5 PTSD diagnosis,0.1,2.0,20.0,1,≥10 point decrease in CAPS-5 severity score,0.15,3.0,20.0,bellehsen2021_ITT_B_0_1,False,False,False,TAU,TAU
55,29906,bichescu2007,,NET,Narrative Exposure Therapy (NET),A,,,26.0,1,Not meeting PTSD criteria according to the CIDI,0.5556,5.0,9.0,,,,,,bichescu2007_NA_A_26_1,False,False,False,NET,NET
56,29906,bichescu2007,,Psychoeducation,Psychoeducation,B,,,26.0,1,Not meeting PTSD criteria according to the CIDI,0.1111,1.0,9.0,,,,,,bichescu2007_NA_B_26_1,False,False,False,Psychoeducation,Psychoeducation
61,25272,blanchard2003,Completer,CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0.0,1,Not meeting criteria for PTSD according to the CAPS,0.7619,16.0,21.0,,,,,,blanchard2003_Completer_A_0_1,False,False,False,CBT,CBT
62,25272,blanchard2003,Follow-up completer,CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,12.0,1,Not meeting criteria for PTSD according to the CAPS,0.8095,17.0,21.0,,,,,,blanchard2003_Follow-up completer_A_12_1,False,False,False,CBT,CBT
